Data,Nome,IP,Número de Série,Cópia a P&B,Cópia a Cor
2025-03-20 09:32:15,L6490 Series,192.168.2.199,X952009684,130,317
2025-03-20 09:32:18,L6490 Series,192.168.2.210,X952008004,447,271
